Electricity generation total (kilowatt-hours);1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
Romania;63,76,90,00,000.00;56,91,40,00,000.00;54,19,50,00,000.00;55,47,60,00,000.00;55,13,60,00,000.00;59,26,70,00,000.00;61,35,00,00,000.00;57,14,80,00,000.00;53,49,60,00,000.00;50,71,30,00,000.00;51,93,50,00,000.00;53,86,60,00,000.00;54,93,50,00,000.00;56,64,50,00,000.00;56,48,20,00,000.00;59,41,30,00,000.00;62,69,70,00,000.00;61,67,30,00,000.00;64,63,60,00,000.00
Russia;10,82,20,00,00,000.00;10,68,00,00,00,000.00;10,08,00,00,00,000.00;9,56,00,00,00,000.00;8,76,40,00,00,000.00;8,62,10,00,00,000.00;8,47,00,00,00,000.00;8,34,00,00,00,000.00;8,26,10,00,00,000.00;8,46,20,00,00,000.00;8,77,80,00,00,000.00;8,91,30,00,00,000.00;8,91,27,00,00,000.00;9,12,08,00,00,000.00;9,31,90,00,00,000.00;9,53,10,00,00,000.00;9,95,95,00,00,000.00;10,14,37,10,00,000.00;10,36,20,00,00,000.00
Saudi Arabia;70,11,60,00,000.00;74,57,40,00,000.00;79,63,00,00,000.00;87,91,30,00,000.00;96,90,10,00,000.00;99,85,70,00,000.00;1,03,38,10,00,000.00;1,07,28,90,00,000.00;1,12,69,10,00,000.00;1,20,00,00,00,000.00;1,26,19,10,00,000.00;1,33,67,30,00,000.00;1,41,73,70,00,000.00;1,53,00,00,00,000.00;1,59,41,40,00,000.00;1,74,97,00,00,000.00;1,79,78,20,00,000.00;1,85,89,50,00,000.00;1,93,70,20,00,000.00
Singapore;15,61,80,00,000.00;16,59,70,00,000.00;17,54,30,00,000.00;18,96,20,00,000.00;20,67,60,00,000.00;22,05,70,00,000.00;23,45,80,00,000.00;26,18,80,00,000.00;28,28,30,00,000.00;29,52,00,00,000.00;31,66,50,00,000.00;33,08,90,00,000.00;34,66,50,00,000.00;35,33,10,00,000.00;36,81,00,00,000.00;38,21,30,00,000.00;39,44,21,00,000.00;41,13,77,00,000.00;41,71,68,00,000.00
Slovak Republic;24,01,90,00,000.00;22,73,20,00,000.00;22,25,50,00,000.00;24,42,90,00,000.00;24,74,00,00,000.00;25,90,50,00,000.00;25,26,10,00,000.00;24,25,10,00,000.00;25,00,00,00,000.00;27,74,30,00,000.00;30,68,50,00,000.00;32,04,60,00,000.00;32,42,70,00,000.00;31,17,80,00,000.00;30,56,70,00,000.00;31,45,50,00,000.00;31,41,80,00,000.00;28,05,60,00,000.00;29,48,80,00,000.00
South Africa;1,65,38,50,00,000.00;1,68,31,60,00,000.00;1,67,81,60,00,000.00;1,74,58,10,00,000.00;1,82,45,20,00,000.00;1,88,13,80,00,000.00;2,00,09,20,00,000.00;2,10,36,20,00,000.00;2,05,37,40,00,000.00;2,03,10,20,00,000.00;2,10,67,00,00,000.00;2,10,10,00,00,000.00;2,17,71,20,00,000.00;2,34,22,90,00,000.00;2,44,60,70,00,000.00;2,44,92,00,00,000.00;2,53,79,80,00,000.00;2,66,23,40,00,000.00;2,73,68,90,00,000.00
Spain;1,51,74,10,00,000.00;1,59,39,20,00,000.00;1,61,10,50,00,000.00;1,60,89,00,00,000.00;1,64,47,70,00,000.00;1,68,90,30,00,000.00;1,76,51,00,00,000.00;1,83,87,90,00,000.00;1,96,04,60,00,000.00;2,08,91,30,00,000.00;2,24,77,90,00,000.00;2,37,41,70,00,000.00;2,46,16,40,00,000.00;2,64,41,30,00,000.00;2,80,00,70,00,000.00;2,94,07,70,00,000.00;3,03,05,10,00,000.00;3,06,40,00,00,000.00;3,10,09,98,43,054.00
Sweden;1,46,50,80,00,000.00;1,47,38,40,00,000.00;1,46,44,40,00,000.00;1,45,97,50,00,000.00;1,42,89,50,00,000.00;1,47,61,70,00,000.00;1,39,68,60,00,000.00;1,49,40,70,00,000.00;1,54,23,40,00,000.00;1,55,15,90,00,000.00;1,45,75,70,00,000.00;1,61,72,90,00,000.00;1,46,73,10,00,000.00;1,35,21,30,00,000.00;1,47,64,70,00,000.00;1,58,41,30,00,000.00;1,43,30,00,00,000.00;1,48,55,70,00,000.00;1,49,25,60,00,000.00
Switzerland;55,80,40,00,000.00;57,81,00,00,000.00;59,12,60,00,000.00;61,26,70,00,000.00;66,45,30,00,000.00;63,08,00,00,000.00;56,88,80,00,000.00;62,71,50,00,000.00;62,87,70,00,000.00;69,54,60,00,000.00;67,35,10,00,000.00;71,91,20,00,000.00;66,65,40,00,000.00;66,98,80,00,000.00;65,54,90,00,000.00;59,77,20,00,000.00;64,13,01,81,500.00;68,02,60,22,170.00;69,11,06,60,000.00
Taiwan;90,20,10,00,000.00;99,17,60,00,000.00;1,05,52,80,00,000.00;1,15,20,50,00,000.00;1,24,63,50,00,000.00;1,33,11,70,00,000.00;1,41,96,20,00,000.00;1,50,18,60,00,000.00;1,62,87,90,00,000.00;1,69,47,30,00,000.00;1,84,85,60,00,000.00;1,88,51,80,00,000.00;1,98,81,20,00,000.00;2,09,05,10,00,000.00;2,18,37,10,00,000.00;2,27,35,69,28,000.00;2,35,18,60,00,000.00;2,42,67,40,00,000.00;2,37,72,30,00,000.00
